"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1061131,"980070","1",11351,,"4"
1061131,"980070","1",11136,,"5"
1061132,"900030","1",11369,,"1"
1061132,"900030","1",11153,,"2"
1061132,"900030","1",10961,,"3"
1061132,"900030","1",11153,,"4"
1061132,"900030","1",11501,,"5"
1061132,"900040","1",604,,"1"
1061132,"900040","1",304,,"2"
1061132,"900040","1",561,,"3"
1061132,"900040","1",568,,"4"
1061132,"900040","1",653,,"5"
1061132,"980000","1",11973,,"1"
1061132,"980000","1",11457,,"2"
1061132,"980000","1",11522,,"3"
1061132,"980000","1",11721,,"4"
1061132,"980000","1",12154,,"5"
1061132,"980070","1",11973,,"1"
1061132,"980070","1",11457,,"2"
1061132,"980070","1",11522,,"3"
1061132,"980070","1",11721,,"4"
1061132,"980070","1",12154,,"5"
1059821,"800940","1",3443,,"1"
1059821,"800940","1",3443,,"2"
1059821,"800940","1",3443,,"3"
1059821,"800940","1",3443,,"4"
1059821,"800940","1",3443,,"5"
1059821,"900000","1",83000,,"1"
1059821,"900000","1",83000,,"2"
1059821,"900000","1",83000,,"3"
1059821,"900000","1",83000,,"4"
1059821,"900000","1",83000,,"5"
1059821,"900010","1",-21852,"T","1"
1059821,"900010","1",-21852,"T","2"
1059821,"900010","1",-21852,"T","3"
1059821,"900010","1",-21852,"T","4"
1059821,"900010","1",-21852,"T","5"
1059821,"980000","1",61148,"T","1"
1059821,"980000","1",61148,"T","2"
1059821,"980000","1",61148,"T","3"
1059821,"980000","1",61148,"T","4"
1059821,"980000","1",61148,"T","5"
1059821,"980070","1",61148,"T","1"
1059821,"980070","1",61148,"T","2"
1059821,"980070","1",61148,"T","3"
1059821,"980070","1",61148,"T","4"
1059821,"980070","1",61148,"T","5"
1059822,"800940","1",3443,,"1"
1059822,"800940","1",3443,,"2"
1059822,"800940","1",3443,,"3"
1059822,"800940","1",3443,,"4"
1059822,"800940","1",3443,,"5"
1059822,"900000","1",83000,,"1"
1059822,"900000","1",83000,,"2"
1059822,"900000","1",83000,,"3"
1059822,"900000","1",83000,,"4"
1059822,"900000","1",83000,,"5"
1059822,"900010","1",-21852,"T","1"
1059822,"900010","1",-21852,"T","2"
1059822,"900010","1",-21852,"T","3"
1059822,"900010","1",-21852,"T","4"
1059822,"900010","1",-21852,"T","5"
1059822,"980000","1",61148,"T","1"
1059822,"980000","1",61148,"T","2"
1059822,"980000","1",61148,"T","3"
1059822,"980000","1",61148,"T","4"
1059822,"980000","1",61148,"T","5"
1059822,"980070","1",61148,"T","1"
1059822,"980070","1",61148,"T","2"
1059822,"980070","1",61148,"T","3"
1059822,"980070","1",61148,"T","4"
1059822,"980070","1",61148,"T","5"
1058261,"900120","1",960,,"1"
1058261,"900120","1",960,,"2"
1058261,"900120","1",960,,"3"
1058261,"900120","1",960,,"4"
1058261,"900120","1",960,,"5"
1058261,"900150","1",2400,,"1"
1058261,"900150","1",2400,,"2"
1058261,"900150","1",2400,,"3"
1058261,"900150","1",2400,,"4"
1058261,"900150","1",2400,,"5"
1058261,"980000","1",3360,,"1"
1058261,"980000","1",3360,,"2"
1058261,"980000","1",3360,,"3"
1058261,"980000","1",3360,,"4"
1058261,"980000","1",3360,,"5"
1058261,"980070","1",3360,,"1"
1058261,"980070","1",3360,,"2"
1058261,"980070","1",3360,,"3"
1058261,"980070","1",3360,,"4"
1058261,"980070","1",3360,,"5"
1058262,"900120","1",960,,"1"
1058262,"900120","1",960,,"2"
1058262,"900120","1",960,,"3"
1058262,"900120","1",960,,"4"
1058262,"900120","1",960,,"5"
1058262,"900150","1",2400,,"1"
1058262,"900150","1",2400,,"2"
1058262,"900150","1",2400,,"3"
1058262,"900150","1",2400,,"4"
1058262,"900150","1",2400,,"5"
1058262,"980000","1",3360,,"1"
1058262,"980000","1",3360,,"2"
1058262,"980000","1",3360,,"3"
1058262,"980000","1",3360,,"4"
1058262,"980000","1",3360,,"5"
1058262,"980070","1",3360,,"1"
1058262,"980070","1",3360,,"2"
1058262,"980070","1",3360,,"3"
1058262,"980070","1",3360,,"4"
1058262,"980070","1",3360,,"5"
1051972,"800940","1",3366,,"1"
1051972,"800940","1",3366,,"2"
1051972,"800940","1",3366,,"3"
1051972,"800940","1",3366,,"4"
1051972,"800940","1",3366,,"5"
1051972,"900000","1",44000,,"1"
1051972,"900000","1",44000,,"2"
1051972,"900000","1",44000,,"3"
1051972,"900000","1",44000,,"4"
1051972,"900000","1",44000,,"5"
1051972,"980000","1",44000,,"1"
1051972,"980000","1",44000,,"2"
1051972,"980000","1",44000,,"3"
1051972,"980000","1",44000,,"4"
1051972,"980000","1",44000,,"5"
1051972,"980070","1",44000,,"1"
1051972,"980070","1",44000,,"2"
1051972,"980070","1",44000,,"3"
1051972,"980070","1",44000,,"4"
1051972,"980070","1",44000,,"5"
1051802,"800940","1",5708,,"1"
1051802,"800940","1",5989,,"2"
1051802,"800940","1",5852,,"3"
1051802,"800940","1",6296,,"4"
1051802,"800940","1",6852,,"5"
1051802,"900000","1",74618,,"1"
1051802,"900000","1",78293,,"2"
1051802,"900000","1",76503,,"3"
1051802,"900000","1",82295,,"4"
1051802,"900000","1",89567,,"5"
1051802,"900080","1",125,,"1"
1051802,"900080","1",353,,"2"
1051802,"900080","1",69,,"3"
1051802,"900080","1",8,,"4"
1051802,"900080","1",65,,"5"
1051802,"980000","1",74743,,"1"
1051802,"980000","1",78646,,"2"
1051802,"980000","1",76572,,"3"
1051802,"980000","1",82303,,"4"
1051802,"980000","1",89632,,"5"
1051802,"980070","1",76743,,"1"
1051802,"980070","1",80646,,"2"
1051802,"980070","1",78572,,"3"
1051802,"980070","1",84303,,"4"
