"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980070",36136,"2",1482721,"1",
"980070",40661,"3",1482721,"1",
"980070",47605,"4",1482721,"1",
"980070",40076,"5",1482721,"1",
"900000",23758,"1",1482722,"1",
"900000",22668,"2",1482722,"1",
"900000",27576,"3",1482722,"1",
"900000",26335,"4",1482722,"1",
"900000",26541,"5",1482722,"1",
"900030",24827,"1",1482722,"1",
"900030",19883,"2",1482722,"1",
"900030",14939,"3",1482722,"1",
"900030",1499,"4",1482722,"1",
"900030",11267,"5",1482722,"1",
"900180",112,"1",1482722,"1",
"900180",96,"2",1482722,"1",
"900180",117,"3",1482722,"1",
"900180",31,"4",1482722,"1",
"900180",8,"5",1482722,"1",
"980000",48697,"1",1482722,"1",
"980000",42647,"2",1482722,"1",
"980000",42632,"3",1482722,"1",
"980000",27865,"4",1482722,"1",
"980000",37816,"5",1482722,"1",
"980070",52197,"1",1482722,"1",
"980070",46147,"2",1482722,"1",
"980070",46132,"3",1482722,"1",
"980070",31365,"4",1482722,"1",
"980070",41316,"5",1482722,"1",
"900000",38369,"1",1482741,"1",
"900000",29000,"2",1482741,"1",
"900000",29000,"3",1482741,"1",
"900000",28173,"4",1482741,"1",
"900000",15310,"5",1482741,"1",
"980000",38369,"1",1482741,"1",
"980000",29000,"2",1482741,"1",
"980000",29000,"3",1482741,"1",
"980000",28173,"4",1482741,"1",
"980000",15310,"5",1482741,"1",
"980070",38369,"1",1482741,"1",
"980070",29000,"2",1482741,"1",
"980070",29000,"3",1482741,"1",
"980070",28173,"4",1482741,"1",
"980070",15310,"5",1482741,"1",
"900000",17310,"1",1482742,"1",
"900000",80458,"2",1482742,"1",
"900000",813,"3",1482742,"1",
"900000",43195,"4",1482742,"1",
"900000",61144,"5",1482742,"1",
"980000",17310,"1",1482742,"1",
"980000",80458,"2",1482742,"1",
"980000",813,"3",1482742,"1",
"980000",43195,"4",1482742,"1",
"980000",61144,"5",1482742,"1",
"980070",17310,"1",1482742,"1",
"980070",80458,"2",1482742,"1",
"980070",813,"3",1482742,"1",
"980070",43195,"4",1482742,"1",
"980070",61144,"5",1482742,"1",
