"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980000",114129,"1",1419711,"1",
"980000",114117,"2",1419711,"1",
"980000",114947,"3",1419711,"1",
"980000",114121,"4",1419711,"1",
"980000",114721,"5",1419711,"1",
"980070",117329,"1",1419711,"1",
"980070",117317,"2",1419711,"1",
"980070",118147,"3",1419711,"1",
"980070",117321,"4",1419711,"1",
"980070",117921,"5",1419711,"1",
"900000",84000,"1",1419712,"1",
"900000",84000,"2",1419712,"1",
"900000",84000,"3",1419712,"1",
"900000",84000,"4",1419712,"1",
"900000",84000,"5",1419712,"1",
"900030",15659,"1",1419712,"1",
"900030",15659,"2",1419712,"1",
"900030",15659,"3",1419712,"1",
"900030",15659,"4",1419712,"1",
"900030",15659,"5",1419712,"1",
"900170",14400,"1",1419712,"1",
"900170",14400,"2",1419712,"1",
"900170",14400,"3",1419712,"1",
"900170",14400,"4",1419712,"1",
"900170",14400,"5",1419712,"1",
"900180",101,"1",1419712,"1",
"900180",6,"2",1419712,"1",
"900180",20,"3",1419712,"1",
"900180",141,"4",1419712,"1",
"900180",13,"5",1419712,"1",
"980000",114160,"1",1419712,"1",
"980000",114065,"2",1419712,"1",
"980000",114079,"3",1419712,"1",
"980000",114200,"4",1419712,"1",
"980000",114072,"5",1419712,"1",
"980070",117360,"1",1419712,"1",
"980070",117265,"2",1419712,"1",
"980070",117279,"3",1419712,"1",
"980070",117400,"4",1419712,"1",
"980070",117272,"5",1419712,"1",
"900000",8000,"1",1419721,"1",
"900000",8000,"2",1419721,"1",
"900000",8000,"3",1419721,"1",
"900000",8000,"4",1419721,"1",
"900000",8000,"5",1419721,"1",
"900170",63527,"1",1419721,"1","T"
"900170",63527,"2",1419721,"1","T"
"900170",63527,"3",1419721,"1","T"
"900170",63527,"4",1419721,"1","T"
"900170",63527,"5",1419721,"1","T"
"900180",400,"1",1419721,"1",
"900180",400,"2",1419721,"1",
"900180",400,"3",1419721,"1",
"900180",400,"4",1419721,"1",
"900180",400,"5",1419721,"1",
"980000",71927,"1",1419721,"1","T"
"980000",71927,"2",1419721,"1","T"
"980000",71927,"3",1419721,"1","T"
"980000",71927,"4",1419721,"1","T"
"980000",71927,"5",1419721,"1","T"
"980070",30997,"1",1419721,"1","T"
"980070",30997,"2",1419721,"1","T"
"980070",30997,"3",1419721,"1","T"
"980070",30997,"4",1419721,"1","T"
"980070",30997,"5",1419721,"1","T"
"900000",8000,"1",1419722,"1",
"900000",8000,"2",1419722,"1",
"900000",8000,"3",1419722,"1",
"900000",8000,"4",1419722,"1",
"900000",8000,"5",1419722,"1",
"900170",63527,"1",1419722,"1","T"
"900170",63527,"2",1419722,"1","T"
"900170",63527,"3",1419722,"1","T"
"900170",63527,"4",1419722,"1","T"
"900170",63527,"5",1419722,"1","T"
"900180",400,"1",1419722,"1",
"900180",400,"2",1419722,"1",
"900180",400,"3",1419722,"1",
"900180",400,"4",1419722,"1",
"900180",400,"5",1419722,"1",
"980000",71927,"1",1419722,"1","T"
"980000",71927,"2",1419722,"1","T"
"980000",71927,"3",1419722,"1","T"
"980000",71927,"4",1419722,"1","T"
"980000",71927,"5",1419722,"1","T"
"980070",30997,"1",1419722,"1","T"
"980070",30997,"2",1419722,"1","T"
"980070",30997,"3",1419722,"1","T"
"980070",30997,"4",1419722,"1","T"
"980070",30997,"5",1419722,"1","T"
"900000",74798,"1",1419751,"1",
"900000",78343,"2",1419751,"1",
"900000",84642,"3",1419751,"1",
"900000",78204,"4",1419751,"1",
"900000",78934,"5",1419751,"1",
"900030",30430,"1",1419751,"1",
"900030",30430,"2",1419751,"1",
"900030",30430,"3",1419751,"1",
"900030",30430,"4",1419751,"1",
"900030",30430,"5",1419751,"1",
"900170",4854,"1",1419751,"1",
"900170",4854,"2",1419751,"1",
"900170",4854,"3",1419751,"1",
"900170",4854,"4",1419751,"1",
"900170",4854,"5",1419751,"1",
"900180",260,"1",1419751,"1",
"900180",260,"2",1419751,"1",
"900180",260,"3",1419751,"1",
"900180",260,"4",1419751,"1",
"900180",260,"5",1419751,"1",
"950002",622,"1",1419751,"1",
"950002",622,"2",1419751,"1",
"950002",622,"3",1419751,"1",
"950002",622,"4",1419751,"1",
"950002",622,"5",1419751,"1",
"950012",431,"1",1419751,"1",
"950012",431,"2",1419751,"1",
"950012",431,"3",1419751,"1",
"950012",431,"4",1419751,"1",
"950012",431,"5",1419751,"1",
"980000",110342,"1",1419751,"1",
"980000",113887,"2",1419751,"1",
"980000",120186,"3",1419751,"1",
"980000",113748,"4",1419751,"1",
"980000",114478,"5",1419751,"1",
"980070",112296,"1",1419751,"1",
"980070",115841,"2",1419751,"1",
"980070",122140,"3",1419751,"1",
